City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,awjilah,29.1081,21.2869,19.12,70,0,4.74,LY,1730321927
205,nova sintra,14.8667,-24.7167,25.72,75,100,6.05,CV,1730321928
206,guiuan,11.0333,125.7247,28.51,81,100,5.99,PH,1730321929
207,karatuzskoye,53.6072,92.8667,1.32,70,100,3.04,RU,1730321930
208,walvis bay,-22.9575,14.5053,14.53,88,69,3.6,NA,1730321931
209,bengkulu,-3.8004,102.2655,24.58,90,96,1.31,ID,1730321933
210,taroudant,30.4703,-8.877,17.17,72,0,3.38,MA,1730321714
211,torghay,49.6339,63.4981,2.87,62,100,2.53,KZ,1730321935
212,nuuk,64.1835,-51.7216,-5.07,45,13,4.22,GL,1730321936
213,boden,65.8252,21.6886,0.26,63,34,1.81,SE,1730321937
214,olinda,-8.0089,-34.8553,26.85,69,20,4.12,BR,1730321938
215,tazovsky,67.4667,78.7,-2.84,92,100,4.79,RU,1730321939
216,sechura,-5.5569,-80.8222,22.88,60,15,6.56,PE,1730321940
217,ancud,-41.8697,-73.8203,13.21,78,51,3.64,CL,1730321941
218,whitehorse,60.7161,-135.0538,-2.77,85,75,3.6,CA,1730321942
219,aroma,15.8167,36.1333,30.71,42,85,1.37,SD,1730321943
220,cockburn town,21.4612,-71.1419,26.98,75,38,10.52,TC,1730321944
221,uturoa,-16.7333,-151.4333,25.4,67,11,5.86,PF,1730321945
222,leava,-14.3,-178.1667,27.1,79,17,3.9,WF,1730321947
223,beira,-19.8436,34.8389,27.05,69,100,3.6,MZ,1730321948
224,ust-nera,64.5667,143.2,-22.63,99,100,2.11,RU,1730321949
225,saipan,15.1355,145.701,28.39,74,40,7.2,MP,1730321950
226,ponta delgada,37.7333,-25.6667,19.4,82,40,3.09,PT,1730321952
227,cauquenes,-35.9671,-72.3225,23.22,38,100,3.84,CL,1730321953
228,enewetak,11.3474,162.3373,28.57,77,80,6.91,MH,1730321954
229,horsham,51.064,-0.3272,12.71,84,75,1.54,GB,1730321425
230,shirvan,39.9509,48.8994,15.18,77,100,0.98,AZ,1730321956
231,tsiombe,-25.3,45.4833,24.84,76,100,1.09,MG,1730321957
232,hirara,24.8,125.2833,28.15,94,100,10.8,JP,1730321960
233,luderitz,-26.6481,15.1594,18.27,64,0,5.05,NA,1730321961
234,coquimbo,-29.9533,-71.3436,16.85,72,75,4.63,CL,1730321962
235,campo grande,-20.4428,-54.6464,30.75,51,75,5.14,BR,1730321826
236,axim,4.8699,-2.2405,25.51,88,39,2.35,GH,1730321965
237,cannonvale,-20.2833,148.7,22.66,67,1,1.74,AU,1730321966
238,bonthe,7.5264,-12.505,26.25,84,64,1.8,SL,1730321967
239,el coacoyul,17.6167,-101.4333,30.18,69,46,2.27,MX,1730321968
240,cidreira,-30.1811,-50.2056,20.91,87,13,8.49,BR,1730321969
241,lander,42.833,-108.7307,1.66,80,75,2.06,US,1730321970
242,shimoda,34.6667,138.95,15.95,72,98,5.4,JP,1730321972
